,function,language,stars_mean,watchers_mean,forks_mean
337,small-data-service,Python,1,1,0
202,sns-lambda-put-cloudwatch,JavaScript,1,1,0
120,sns-lambda-subscriber-dynamodb,JavaScript,2,1,0
45,sns-message,JavaScript,42,7,22
74,sns-message-python,JavaScript,42,7,22
124,sns-subscriber-lambda-s3,JavaScript,3,1,1
68,sns-subscription-filter-policy-string,Python,105,19,16
476,sns-to-telegram,Go,0,0,0
314,sns2telegram,Go,6,1,0
494,speelycaptor,JavaScript,3,2,0
35,sqs-poller,JavaScript,42,7,22
114,sqs-to-dynamodb,JavaScript,0,1,1
489,ssm-parameters-getter-lambda,JavaScript,2,0,1
356,ssm-sign-proxy,Go,0,2,0
19,standard-redirects-for-cloudfront,JavaScript,16,2,3
485,step-functions-error,JavaScript,42,7,23
479,step-functions-error-python,JavaScript,42,7,23
99,step-functions-send-to-sns,JavaScript,42,7,22
131,stu,HTML,23,4,9
253,sumologic-app-utils,Python,98,47,107
343,sumologic-aws-cloudtrail-benchmark,Python,98,47,107
171,sumologic-guardduty-benchmark,Python,98,47,107
427,sumologic-jfrog-xray,Python,1,29,1
88,sumologic-loggroup-connector,Python,98,47,107
144,sumologic-mongodb-atlas,Python,0,5,2
410,sumologic-process-logs,JavaScript,42,7,23
112,sumologic-securityhub-collector,Python,98,47,107
228,sumologic-securityhub-forwarder,Python,98,47,107
116,sumologic-slack,Python,0,29,1
406,text2event,JavaScript,0,0,0
470,tf-state-store,Makefile,0,0,0
65,tic-tac-toe,Python,1,1,1
153,timber-logging,Python,3,8,2
347,timestamp-custom-resource,Python,0,1,0
424,traffic-cop-query-engine,C++,4,3,3
365,trigger-t2-unlimited-with-sns,Python,3,1,2
129,tweet-sentiment,Python,1,1,0
353,twilio-conference,JavaScript,42,7,23
405,twilio-forward,JavaScript,42,7,23
435,twilio-menu,JavaScript,42,7,23
357,twilio-simple-blueprint,JavaScript,42,7,23
282,twitter-to-slack-message,Python,0,1,0
13,uploader,JavaScript,90,8,40
376,url-redirect-https,Makefile,69,6,27
346,uvasoftware-guarana,Java,0,1,0
457,vpc-traffic-mirroring-source-automation,Python,4,4,2
136,whats-your-name,Python,15,2,2
341,workmail-chat-bot-python,Python,7,3,5
109,workmail-hello-world-python,Python,7,3,5
324,workmail-wordpress-python,Python,7,3,5
