function,stars,watchers,forks,language
deno-hello-world,147.0,8.0,2.0,TypeScript
LambdaScale,7.0,10.0,2.0,JavaScript
Cribl-S3-To-Snowflake,1.0,1.0,2.0,JavaScript
sar-aws-sns-to-slack,1.0,1.0,0.0,Python
ACM-DynamoDB-Publisher,0.0,1.0,1.0,Python
Find-Places,0.0,1.0,0.0,JavaScript
s3-lambda-ffmpeg-aac-wav-to-mp3-s3,5.0,2.0,3.0,JavaScript
comment-moderator,0.0,0.0,0.0,JavaScript
dynamodb-to-s3-importer,0.0,1.0,0.0,JavaScript
url-redirect-https,69.0,6.0,27.0,Makefile
failed-emr-info,0.0,1.0,1.0,Python
ServerlessCron,69.0,6.0,27.0,Makefile
ACM-S3-Publisher,2.0,1.0,1.0,Python
lending-app-nodejs6,0.0,0.0,0.0,JavaScript
aws-serverless-financial-functions-ppmt,38.0,19.0,8.0,Python
Image-to-Textract-Response,0.0,0.0,0.0,Python
platform-authorizer,3.0,4.0,1.0,JavaScript
ExcelLexBot,8.0,2.0,6.0,Python
amazon-connect-outbound-prompt-call,50.0,3.0,15.0,Makefile
lambda-logs-athena-example,0.0,1.0,0.0,Python
api-lambda-send-templated-email-ses,4.0,2.0,0.0,JavaScript
codepipeline-versioner,0.0,1.0,0.0,JavaScript
detect-stack-drifts,3.0,1.0,1.0,Python
Update-Route53-Record-to-Ec2-PublicIp-Python3,2.0,1.0,2.0,Python
Carrier-Info,0.0,0.0,0.0,JavaScript
kim-demo,1.0,2.0,2.0,JavaScript
lambda-s3-zip,0.0,1.0,0.0,JavaScript
aws-services-by-region,0.0,1.0,0.0,Python
exif-reader,2.0,1.0,2.0,Perl
AWSNewsFeed,2.0,1.0,1.0,Python
Slack-Translate,0.0,0.0,0.0,JavaScript
aws-serverless-financial-functions-npv,38.0,19.0,8.0,Python
aws-serverless-financial-functions-sln,38.0,19.0,8.0,Python
LambdaUtilities,0.0,2.0,1.0,Python
sagemaker-image-classification,0.0,2.0,1.0,Jupyter Notebook
Mill,9.0,8.0,0.0,JavaScript
Parameter-Store-ECS-Updater-and-Deployer,2.0,0.0,0.0,Go
AWS-Backup-DynamoDB-Rotator,7.0,1.0,1.0,Go
twilio-forward,42.0,7.0,23.0,JavaScript
text2event,0.0,0.0,0.0,JavaScript
ALB-Lambda-Target-UploadFiletoS3,211.0,22.0,67.0,Java
Cleaner,0.0,1.0,0.0,Python
format-splunk-aws-sns-alert,0.0,1.0,0.0,Python
sumologic-process-logs,42.0,7.0,23.0,JavaScript
cloudfront-security-group-update-ips,0.0,1.0,0.0,Python
S3-Auto-transcriber-and-sentiment-analyzer,2.0,1.0,0.0,JavaScript
human-trafficking-goods-indicator-api,0.0,0.0,0.0,Python
ThundraNodeJSHelloWorld,9.0,2.0,3.0,JavaScript
codepipeline-s3-objects-public-read-multi-buildartifact,0.0,1.0,0.0,JavaScript
serverless-uptime-monitor,0.0,1.0,0.0,JavaScript
aws-serverless-website-canary,4.0,1.0,0.0,JavaScript
aws-serverless-financial-functions-nominal,38.0,19.0,8.0,Python
aws-serverless-financial-functions-irr,38.0,19.0,8.0,Python
CodePipelineSlackApprover,6.0,1.0,0.0,Ruby
s3-signed-urls,4.0,1.0,0.0,JavaScript
codedeployhook,0.0,4.0,0.0,Go
fqdnService,0.0,9.0,0.0,TypeScript
traffic-cop-query-engine,4.0,3.0,3.0,C++
signed-links-cognito,0.0,1.0,0.0,JavaScript
IoT-Session-Feedback,2.0,0.0,0.0,JavaScript
sumologic-jfrog-xray,1.0,29.0,1.0,Python
amplify-console-notification,0.0,1.0,0.0,TypeScript
lambda-edge-logs-aggregator,2.0,1.0,0.0,Shell
birthday-to-age,0.0,1.0,0.0,Go
MedPal,1.0,0.0,1.0,JavaScript
api-gateway-component,0.0,2.0,0.0,None
ship-logs-to-honeycomb,4.0,1.0,1.0,JavaScript
DailyQuotes,0.0,0.0,0.0,Python
twilio-menu,42.0,7.0,23.0,JavaScript
codepipeline-s3-objects-public-read,0.0,1.0,2.0,JavaScript
cloudwatch-alarms-macro,16.0,2.0,1.0,JavaScript
CitizenDispatch,4.0,0.0,1.0,JavaScript
kim-demo2,1.0,2.0,2.0,JavaScript
lambda-edge-header-adder-python,0.0,1.0,0.0,Python
selfless-service-updates,0.0,1.0,0.0,Python
s3-to-dynamodb-importer,6.0,1.0,1.0,JavaScript
dynamodb-process-stream-python,42.0,7.0,23.0,JavaScript
dynamodb-scaling-event-to-datadog,0.0,1.0,0.0,Python
CopyToBucket,0.0,0.0,0.0,JavaScript
chime-eks-top,1.0,1.0,0.0,Makefile
aws-serverless-financial-functions-nper,38.0,19.0,8.0,Python
aws-serverless-financial-functions-rate,38.0,19.0,8.0,Python
aws-serverless-financial-functions-fvschedule,38.0,19.0,8.0,Python
commentable-rs,4.0,2.0,0.0,Rust
cloudfront-cdn,1.0,1.0,0.0,JavaScript
sam-alb,3.0,4.0,0.0,Go
cloudwatch-logs-janitor,0.0,0.0,0.0,Python
buildkite-serverless-agent,11.0,0.0,2.0,Go
TwilioMessageReceiver,10.0,1.0,2.0,None
serverless-cognito-auth,1.0,1.0,0.0,Go
vpc-traffic-mirroring-source-automation,4.0,4.0,2.0,Python
logs-insights-to-metric,0.0,1.0,0.0,None
ec2-cleanup,0.0,0.0,0.0,Go
dynamodb-table-storage-metrics,0.0,1.0,0.0,Python
aws-console-sign-in-to-telegram,0.0,1.0,0.0,Python
lambda-logs-event-source,0.0,4.0,0.0,JavaScript
aws-serverless-financial-functions-effect,38.0,19.0,8.0,Python
lambda-layer-mecab-python3,0.0,1.0,0.0,Dockerfile
age-nudity-recognizer,0.0,1.0,0.0,Python
AWSBlogsFeed,1.0,2.0,1.0,Python
eks-auth-update-hook,61.0,5.0,26.0,Makefile
aws-serverless-financial-functions-xnpv,38.0,19.0,8.0,Python
awscallouts,0.0,1.0,0.0,Python
tf-state-store,0.0,0.0,0.0,Makefile
SnsEmailForms,0.0,1.0,0.0,TypeScript
serverless-data-pipeline,8.0,2.0,0.0,Python
aws-bills-to-telegram,1.0,1.0,0.0,Python
ExpiryChecker,0.0,0.0,0.0,JavaScript
